day,time,notifs,pickups
monday,0:00,4,2
monday,1:00,7,0
monday,2:00,4,0
monday,3:00,0,0
monday,4:00,0,0
monday,5:00,0,0
monday,6:00,1,1
monday,7:00,0,0
monday,8:00,5,5
monday,9:00,11,0
monday,10:00,2,0
monday,11:00,1,0
monday,12:00,2,1
monday,13:00,7,12
monday,14:00,6,2
monday,15:00,8,1
monday,16:00,0,0
monday,17:00,0,0
monday,18:00,5,4
monday,19:00,9,7
monday,20:00,2,3
monday,21:00,13,8
monday,22:00,3,2
monday,23:00,1,1
tuesday,0:00,4,0
tuesday,1:00,1,1
tuesday,2:00,0,0
tuesday,3:00,0,0
tuesday,4:00,1,0
tuesday,5:00,0,0
tuesday,6:00,0,0
tuesday,7:00,11,7
tuesday,8:00,6,4
tuesday,9:00,9,5
tuesday,10:00,5,3
tuesday,11:00,5,5
tuesday,12:00,1,5
tuesday,13:00,4,6
tuesday,14:00,4,3
tuesday,15:00,4,2
tuesday,16:00,9,4
tuesday,17:00,15,6
tuesday,18:00,4,4
tuesday,19:00,12,0
tuesday,20:00,0,6
tuesday,21:00,1,0
tuesday,22:00,0,0
tuesday,23:00,1,1
wednesday,0:00,7,2
wednesday,1:00,21,5
wednesday,2:00,0,0
wednesday,3:00,1,2
wednesday,4:00,0,0
wednesday,5:00,0,0
wednesday,6:00,1,1
wednesday,7:00,1,1
wednesday,8:00,1,1
wednesday,9:00,4,0
wednesday,10:00,5,3
wednesday,11:00,2,10
wednesday,12:00,14,1
wednesday,13:00,3,4
wednesday,14:00,0,1
wednesday,15:00,2,0
wednesday,16:00,5,5
wednesday,17:00,2,4
wednesday,18:00,1,2
wednesday,19:00,1,0
wednesday,20:00,12,6
wednesday,21:00,7,6
wednesday,22:00,24,8
wednesday,23:00,2,2
thursday,0:00,3,1
thursday,1:00,0,0
thursday,2:00,2,0
thursday,3:00,0,0
thursday,4:00,0,0
thursday,5:00,2,1
thursday,6:00,0,0
thursday,7:00,1,1
thursday,8:00,2,2
thursday,9:00,11,3
thursday,10:00,1,0
thursday,11:00,1,1
thursday,12:00,11,5
thursday,13:00,7,12
thursday,14:00,2,0
thursday,15:00,5,2
thursday,16:00,4,4
thursday,17:00,1,0
thursday,18:00,5,0
thursday,19:00,4,3
thursday,20:00,2,7
thursday,21:00,6,6
thursday,22:00,5,3
thursday,23:00,13,17
friday,0:00,6,3
friday,1:00,0,3
friday,2:00,1,0
friday,3:00,0,0
friday,4:00,2,1
friday,5:00,1,0
friday,6:00,1,1
friday,7:00,1,1
friday,8:00,2,1
friday,9:00,4,1
friday,10:00,3,2
friday,11:00,3,0
friday,12:00,4,1
friday,13:00,1,0
friday,14:00,1,1
friday,15:00,5,14
friday,16:00,6,5
friday,17:00,12,7
friday,18:00,2,2
friday,19:00,23,12
friday,20:00,10,8
friday,21:00,3,3
friday,22:00,2,4
friday,23:00,3,6
saturday,0:00,1,3
saturday,1:00,1,0
saturday,2:00,0,0
saturday,3:00,0,0
saturday,4:00,0,0
saturday,5:00,0,0
saturday,6:00,3,0
saturday,7:00,0,0
saturday,8:00,1,0
saturday,9:00,2,0
saturday,10:00,2,3
saturday,11:00,4,4
saturday,12:00,12,11
saturday,13:00,5,0
saturday,14:00,2,1
saturday,15:00,9,1
saturday,16:00,6,2
saturday,17:00,3,0
saturday,18:00,3,2
saturday,19:00,3,4
saturday,20:00,8,4
saturday,21:00,5,3
saturday,22:00,4,7
saturday,23:00,7,3
sunday,0:00,0,1
sunday,1:00,1,0
sunday,2:00,0,0
sunday,3:00,2,0
sunday,4:00,2,2
sunday,5:00,3,1
sunday,6:00,0,0
sunday,7:00,0,0
sunday,8:00,7,3
sunday,9:00,1,0
sunday,10:00,0,0
sunday,11:00,2,1
sunday,12:00,1,1
sunday,13:00,7,11
sunday,14:00,13,6
sunday,15:00,23,7
sunday,16:00,1,2
sunday,17:00,4,0
sunday,18:00,5,2
sunday,19:00,6,5
sunday,20:00,2,7
sunday,21:00,1,8
sunday,22:00,1,1
sunday,23:00,0,1
